source_name,ticker,error_type,http_status_if_available,retry_after_if_available,safe_to_retry_later,counts_against_vendor_readiness,reason
tiingo_eod,AAPL,CREDENTIAL_MISSING,,,False,True,Required credential missing.
tiingo_eod,MSFT,CREDENTIAL_MISSING,,,False,True,Required credential missing.
tiingo_eod,SPY,CREDENTIAL_MISSING,,,False,True,Required credential missing.
tiingo_eod,QQQ,CREDENTIAL_MISSING,,,False,True,Required credential missing.
tiingo_eod,SQ,CREDENTIAL_MISSING,,,False,True,Required credential missing.
tiingo_eod,GEV,CREDENTIAL_MISSING,,,False,True,Required credential missing.
tiingo_eod,RDDT,CREDENTIAL_MISSING,,,False,True,Required credential missing.
polygon_aggs,AAPL,CREDENTIAL_MISSING,,,False,True,Required credential missing.
polygon_aggs,MSFT,CREDENTIAL_MISSING,,,False,True,Required credential missing.
polygon_aggs,SPY,CREDENTIAL_MISSING,,,False,True,Required credential missing.
polygon_aggs,QQQ,CREDENTIAL_MISSING,,,False,True,Required credential missing.
polygon_aggs,SQ,CREDENTIAL_MISSING,,,False,True,Required credential missing.
polygon_aggs,GEV,CREDENTIAL_MISSING,,,False,True,Required credential missing.
polygon_aggs,RDDT,CREDENTIAL_MISSING,,,False,True,Required credential missing.
alpha_vantage_daily_adjusted,AAPL,CREDENTIAL_MISSING,,,False,True,Required credential missing.
alpha_vantage_daily_adjusted,MSFT,CREDENTIAL_MISSING,,,False,True,Required credential missing.
alpha_vantage_daily_adjusted,SPY,CREDENTIAL_MISSING,,,False,True,Required credential missing.
alpha_vantage_daily_adjusted,QQQ,CREDENTIAL_MISSING,,,False,True,Required credential missing.
alpha_vantage_daily_adjusted,SQ,CREDENTIAL_MISSING,,,False,True,Required credential missing.
alpha_vantage_daily_adjusted,GEV,CREDENTIAL_MISSING,,,False,True,Required credential missing.
alpha_vantage_daily_adjusted,RDDT,CREDENTIAL_MISSING,,,False,True,Required credential missing.
,AAPL,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ABNB,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ACHR,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ADBE,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,AFRM,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,AI,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,AMAT,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,AMD,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ANET,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,APP,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ARM,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ASML,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,AVAV,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,AVGO,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,BA,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,BBAI,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,BEAM,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,BWXT,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,CAVA,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,CCJ,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,CEG,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,COIN,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,CORZ,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,CRM,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,CRWD,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,DASH,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,DDOG,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,DELL,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,DNA,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,DUOL,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,EDIT,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ELF,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ESTC,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,ETN,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,F,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
,GD,CREDENTIAL_MISSING,,,False,True,No credentialed independent vendor passed smoke.
